word,definition,pronunciation
Alembicated,Over-refined,alembikatet
Jink,To move quickly with sudden turns and shifts,jink
Quodlibet,Philosophical argument of disputation; humorous medley,kuotlibet
Kava,Narcotic drink prepared from Polynesian plant,kafa
Cohibit,To restrain,kohibit
Terremotive,Seismic,teremotife
Efferent,Carrying outward or away,eferent
Jolterhead,Clumsy oaf; blockhead,jolterheat
Cartiliginous,Like or composed of cartilage,kartilijinous
Warren,Heart-shaped hoe,waren
Liturgist,Leader in public worship,liturjist
Irregenerate,Not regenerate; unregenerate,irejenerate
Fossarian,Clergyman moonlighting as a gravedigger,fosarian
Porcellanous,Resembling porcelain,porselanous
Idiomorphic,Having a unique or distinct form,ixiomorfik
Bosselated,Knobby,boselatet
Alecost,"Costmary, an herb used in flavouring ale",alekost
Protestation,Avowal or solemn declaration,protestaxion
Stigmatic,"Giving infamy, stigma or reproach, marked or branded",stikmatik
Dactylomegaly,Condition of having abnormally large digits,taktlomekal
Irreflex,Not turned back; not turned aside,irefleks
Nullifidian,Having no faith; one who is faithless,nulifitian
Pycnomorphous,Compact; dense,pknomorfous
Nomic,Customary; conventional,nomik
Cerge,Large wax candle burned before the altar,serje
Batology,The study of brambles,batoloj
Quadriga,Two-wheeled carriage drawn by four horses,kuatrika
Uakari,"Short-tailed, long-haired monkey",uakari
Astichous,Not in rows,astikshous
Upwith,Up along,upwith
Hetaera,Paramour; prostitute; concubine,hetaera
Flam,Humbug; trickery,flam
Kore,Ancient Greek statue of a draped maiden,kore
Chromophilous,Staining easily,shromofilous
Gentrification,Movement of middle class to working class area,jentrifikaxion
Metaphysics,Study of principles of nature and thought,metafsiks
Washball,Ball of toilet soap,wakshbal
Microclimatology,Study of local climates,mikroklimatoloj
Yuzbashi,Turkish military officer,yusbakshi
Hyrax,Small rodent-like ungulate,hraks
Bolometer,Instrument for measuring radiant energy or infrared light,bolometer
Grabble,Search with the hand; grope,krable
Horrisonant,Dreadful-sounding,horisonant
Belonephobia,Fear of pins and needles,belonefobia
Moleskin,Heavy durable cotton,moleskin
Cerberic,Vigilant; dragon-like; like Cerberus,serberik
Uraster,Starfish,uraster
Pismirism,Hoarding of small or insignificant things,pismirism
Euonym,A pleasing or beautiful name,euonm
Cutaneous,Of or related to the skin,kutaneous
Vulnerary,Healing wounds,fulnerar
Ventricumbent,Lying on one's front or one's belly,fentrikumbent
Latebricole,Living in holes,latebrikole
Pardoner,One who raises money for religious works by selling indulgences,partoner
Lachrymose,Shedding tears,lakshrmose
Xenurine,Species of armadillo,senurine
Parvipotent,Having little power,parfipotent
Libanotophorous,Producing incense,libanotoforous
Yarpha,Peatbog; sandy or fibrous peat,yarfa
Ossivorous,Feeding on bones,osiforous
Remueur,Person who turns the bottles in wine-making,remueur
Wayment,Lamentation; grief,wament
Webwheel,"Wheel in which spokes, rim and centre made from one piece of material",webhel
Juntocracy,Government by a junta,juntokras
Giganticide,Killing of a giant,jikantisite
Hircine,"Goat-like; having a goatish smell; of, like or pertaining to smelly goats",hirsine
Mayhap,Perhaps,mahap
Wasserman,Man-shaped sea monster,waserman
Louche,Squinting; ambiguous; shady,loukshe
Pipa,Chinese lute,pipa
Jobbernowl,A blockish or stupid head,jobernol
Familic,Pertaining to a family; domestic,familik
Hegumene,Head of a nunnery,hekumene
Judicature,Power of dispensing justice by trial,jutikature
Sinciput,The forehead,sinsiput
Bordereau,Detailed bill or invoice,bortereau
Internecine,Causing (mutual) destruction,internesine
Jumentous,Like a horse,jumentous
Zootaxy,Science of classifying animals,sotaks
Inustion,Burning in; cauterization,inusxion
Dichroscope,Instrument for examining crystals for dichroism,tikshroskope
Xiphoid,Sword-shaped,sifoit
Heyday,Expression of elation or wonder,heta
Jurymast,Mast erected on ship in place of one lost,jurmast
Zumbador,South American hummingbird,sumbator
Hinnable,Able to neigh or whinny,hinable
Yardarm,Either end of the yard of a square-rigged ship,yartarm
Nanoid,Dwarf-like,nanoit
Wergild,Fine paid by family of murderer to family of murder victim,werjilt
Querquedule,Pin-tail duck; a teal,kuerkuetule
Yare,Marked by quickness and agility; nimble; prepared; easily handled,yare
Keelson,Lengthwise wooden or steel beam in ship for bearing stress,kelson
Woundy,Causing wounds; characterized by wounds,wount
Xebec,Small three-masted pirate ship,sebek
Rotiferous,Bearing rotifers,rotiferous
Dree,To endure or withstand,tre
Bight,A wide bay; a bend or coil in a rope,bit
Benet,Exorcist,benet
Attrite,Repentant through fear of punishment,atrite
Xiphophyllous,Having sword-shaped leaves,sifoflous
Epopoean,Befitting an epic poet,epopoean
Retiary,Of nets; using nets as a weapon; catching insects in webs,rexiar
Inboard,Inside the line of a ship's bulwarks or hull,inboart
Revendicate,To make formal claim to; to try to retrieve lost goods,refentikate
Zinnober,Chrome green,sinober
Uguisu,Olive-plumed bush warbler,ukuisu
Kouprey,Wild ox of Cambodia,koupre
Dag,Dirty tatted tuft of sheep's wool,tak
Gudgeon,Metal socket into which the pintle of a boat's rudder fits,kujjeon
Fornicate,Vaulted or arched,fornikate
Frontal,Armour for the front of a horse's head,frontal
Stercoricolous,Living in dung or filth,sterkorikolous
Frisson,Shiver; shudder; thrill,frison
Viperine,"Of, like or pertaining to vipers",fiperine
Hypnoid,Like sleep or hypnosis,hpnoit
Hebetate,To make dull or obtuse,hebetate
Banausic,Materialistic; merely mechanical; pertaining to workshops,banausik
Zygodactylic,Having two toes in front and two behind,skotaktlik
Woolage,Untidy hair,wolaje
Maelid,Apple-nymph,maelit
Barodynamics,Science of the support and mechanics of bridges,barotnamiks
Energism,Theory that the highest good is contented thought rather than pursuit of pleasure,enerjism
Dapatical,Lavish; sumptuous; costly,tapatikal
One-step,Ballroom dance marked by quick walking steps,"one,step"
Macaroni,Nonsense; foolishness,makaroni
Idiograph,Private mark; trademark,ixiokraf
Insectifuge,Insect repellent,insektifuje
Zati,Indian macaque with large tuft on the back of the head,sati
Zaffre,Impure cobalt oxide,safre
Nitid,Bright; shining; merry,nitit
Filiciform,Shaped like a fern or frond,filisiform
Ecdysiast,Striptease performer,ektksiast
Woold,To wind a rope or chain around,wolt
Pileiform,Shaped like an umbrella,pileiform
Rubefaction,Reddening,rubefakxion
Nodus,A knotty point; difficulty; complication,notus
Fantigue,Anxiety or irritation,fantikue
Horologiography,Description of timepieces,horolojiokraf
Paragenesis,Formation of minerals as a joined mass,parajenesis
Panophobia,Melancholia marked by groundless fears,panofobia
Kobold,Spirit of the mines,kobolt
Glareous,Gravelly; growing on gravel,klareous
Reddendum,Reserving clause in a lease,retentum
Hamular,Like a small hook,hamular
Hierogram,Sacred or hieroglyphic symbol,hierokram
Sacralized,Prepared to be used in sacred ceremonies,sakraliset
Ichthyocoprolite,Fossilized fish poop,ikshthyokoprolite
Instrumentalism,Doctrine that ideas are instruments of action,instrumentalism
Parity,Condition or fact of having born children,parit
Punctiform,Shaped like a point,punktiform
Photometer,Instrument for measuring light intensity,fotometer
Ballyhoo,Bombastic or pretentious nonsense,balho
Alcahest,Alchemical universal solvent,alkahest
Vespal,"Of, like or pertaining to wasps",fespal
Dubitative,Mood signifying doubt or incertitude,tubitatife
Ondograph,Instrument measuring change in wave formations of electricity,ontokraf
Olivary,Olive-shaped,olifar
Logia,Collection of sayings,lojia
Roc,Enormous legendary Arabian bird,rok
Verticity,"Power of turning, especially of a magnet",fertisit
Epistemology,Study or theory of the basis of knowledge,epistemoloj
Eloign,To convey to a distance; to remove,eloin
Bruit,Something rumoured widely; to report or spread rumour,bruit
Lippitude,Soreness of the eyes,lipitute
Trimerous,Having the parts in threes,trimerous
Tropic,Like a keel,tropik
Vinegaroon,Large scorpion that emits foul vinegar-like secretion,finekaron
Viticolous,Living on vines,fitikolous
Norsel,Short piece of line for fastening fishing nets and hooks,norsel
Poecilonym,Synonym; one of a variety of names for a thing,poesilonm
Trottoir,Pavement,trotoir
Fibula,Brooch in the shape of a safety pin,fibula
Kith,Knowledge; one's native land; one's friends,kith
Goanna,Large Australian lizard,koana
Ked,Wingless fly that feeds on livestock,ket
Icteritious,Jaundiced; yellow,ikterixious
Goliard,Wandering student,koliart
Kohl,Eye-shadow; mascara,kol
Xanthochroia,Yellowness of the skin,santhokshroia
Asperge,To sprinkle,asperje
Unreeve,To withdraw a rope from an opening,unrefe
Filiopietistic,Marked by excessive veneration of ancestors,filiopietistik
Radicated,Rooted; established,ratikatet
Ratline,Small rope forming a rung of a rope ladder on a ship,ratline
Quickstep,Fast march-like dance,kuikstep
Mirliton,Reed pipe,mirliton
Oncogenesis,Producing cancerous tumours,onkojenesis
Dit,Poem; words of a song,tit
Toxicomania,Morbid craving for poisons,toksikomania
Bradawl,Small boring tool,bratal
Effluvium,Invisible emanation; offensive exhalation or smell,eflufium
Hodden,Coarse undyed woollen cloth,hoten
Lunulate,Shaped like a small crescent,lunulate
Quercine,"Of, like or pertaining to oak trees",kuersine
Quatrayle,Great-great-great grandfather,kuatrale
Tautomerism,Possession of more than one structure by a substance,tautomerism
Yeo,Stream or drain used in mining,yeo
Monosy,Separation of parts normally fused,monos
Thearchy,Rule by a god or gods; body of divine rulers,thearksh
Newel,Upright column in middle of circular staircase; post at end of stairs,newel
Yegg,A burglar of safes,yek
Farinaceous,Mealy; consisting of cereals,farinaseous
Gilderoy,Proud person,jiltero
Echoism,The formation of imitative words,ekshoism
Ludibund,Playful,lutibunt
Caprifoliaceous,"Of, like or pertaining to the honeysuckle plant",kaprifoliaseous
Vibraphone,Percussion instrument like xylophone whose bars have variable vibrato,fibrafone
Eutony,Pleasantness of the sound of a word,euton
Quillaia,South American tree whose bark is used to make soap,kuilaia
Lazar,Leper or person with similar pestilential disease,lasar
Succinctorium,Band or scarf worn from the Pope's girdle,suksinktorium
Katabasis,Going down; military retreat,katabasis
Jumart,Impossible mythical offspring of a cow and donkey,jumart
Virific,Poisonous,firifik
Umbril,Visor on helmet to protect the eyes from light,umbril
Zygology,Science of joining and fastening,skoloj
Idioticon,Vocabulary of a particular district,ixiotikon
Alamort,Half-dead; dejected,alamort
Lugubrious,Mournful; dismal,lukubrious
Keloid,Hard scar tissue which grows over injured skin,keloit
Didelphine,"Of, like or pertaining to opossums",titelfine
Ruana,South American cape or poncho,ruana
Calipace,Turtle's carapace,kalipase
Kenophobia,Fear of empty spaces,kenofobia
Mixen,Dunghill,miksen
Krummhorn,Ancient double-reed wind instrument,krumhorn
Morel,Dark-coloured horse; blackish colour,morel
Nigrosine,Blackish coal-tar colour dye,nikrosine
Habilatory,"Of, like or pertaining to clothes or dressing",habilator
Xenogenesis,Generation of offspring entirely unlike the parent,senojenesis
Yolk,Greasy substance emitted by sheep's skin to moisten the wool,yolk
Avolitional,Involuntary,afolixional
Zoetic,Living; vital,soetik
Quaere,To introduce a question or issue,kuaere
Demology,Study of human behaviour,temoloj
Eclogue,Pastoral or rustic poem,eklokue
Quintal,Unit of weight equal to 100 kilograms,kuintal
Guardant,Of a heraldic animal turned to side with head facing the viewer,kuartant
Womanthrope,A hater of women,womanthrope
Irredenta,Territory related ethnically to one state but subject to another,iretenta
Fistuliform,Shaped like a pipe,fistuliform
Tentigo,Priapism; morbid lasciviousness,tentiko
Uvelloid,Resembling a small cluster of grapes,ufeloit
Accend,To kindle,aksent
Alomancy,Divination using salt,alomans
Bugaboo,Loud or empty nonsense,bukabo
Xerothermic,Dry and hot,serothermik
Kelt,Coarse fabric made of black and white wool,kelt
Hydropathy,Study of treating diseases with water,htropath
Unseel,To unsew the eyes of,unsel
Bunting,Light loosely woven fabric used for flags,buntink
Immunopathology,Study of immunity to disease,imunopatholoj
Decadarchy,Government by ten individuals; decarchy,tekatarksh
Brontology,Scientific study of thunder,brontoloj
Ninon,Silk voile or other thin fabric,ninon
Yarmulke,Skullcap worn by Orthodox Jewish men,yarmulke
Falanouc,Carnivorous mongoose-like mammal of Madagascar,falanouk
Monolith,"Large single stone in form of monument, obelisk or column",monolith
Zona,Girdle or belt; patch or band,sona
Ruiniferous,Bearing many ruins,ruiniferous
Wrox,To decay; to rot,ro
Jacu,Large South American game bird,jaku
Longanimity,Forbearance; patience,lonkanimit
Statoscope,Instrument for measuring small changes in atmospheric pressure,statoskope
Esker,Ridge of sandy soil,esker
Vitrescible,Able to be turned into glass,fitressible
Witeless,Without fault; blameless,witeles
Bardolatry,Excessive devotion to or worship of Shakespeare,bartolatr
Necrologue,Obituary,nekrolokue
Jejune,Lacking interest or significance; dull or insipid; dry; empty,jejune
Nephelometer,Instrument for measuring cloudiness,nefelometer
Hobohemia,Community of hoboes,hobohemia
Isabnormal,Line connecting points of equal deviation from mean temperature,isabnormal
Quannet,Flat file used like a plane,kuanet
Xylophory,Wood-carrying,slofor
Ectogenesis,Variation in response to outside conditions,ektojenesis
Joggle,Tooth or pin to prevent surfaces from slipping,jokle
Justiciar,Administrator of justice; supreme judge,justiksiar
Wheep,Sound made by a steel weapon when drawn from a sheath,wep
Isonomy,Equal law; rights or privileges,isonom
Abreuvoir,Joint or gap between two stones in masonry,abreufoir
Bulbul,Gregarious songbird,bulbul
Immoralism,Rejection of morality,imoralism
Verism,Artistic preference of the everyday to the legendary,ferism
Quinceañera,Celebration of a girl's fifteenth birthday,kuinseanera
Gelasin,Dimple in the cheek that appears when one smiles,jelasin
Diaphanous,Transparent; translucent,xiafanous
Myringa,Eardrum,mrinka
Limicolous,Living in mud,limikolous
Epiphora,Rhetorical repetition of a word at the end of several sentences,epifora
Juramentum,Oath,juramentum
Nemorous,Wooded,nemorous
Eutropic,Turning to face the sun,eutropik
Psychophysics,Study of link between mental and physical processes,pskshofsiks
Umbo,Central knob or boss of a shield,umbo
Jugulate,To cut the throat of,jukulate
Harmonograph,Instrument drawing curves representing vibrations,harmonokraf
Gerrymander,To divide electoral districts for one's own political gain,jermanter
Borsella,Instrument for shaping glass vessels,borsela
Gaumless,Stupid; witless; vacant,kaumles
Scapular,Badge of monastic order worn on the shoulders,skapular
Paravant,In front; first; beforehand,parafant
Quincurion,Leader of five men,kuinkurion
Intertie,Short timber binding together upright posts,intertie
Neencephalon,Evolutionarily newer part of the vertebrate brain,nensefalon
Proeguminal,Predisposing; preceding,proekuminal
Xystus,Covered walkway for exercises,sstus
Recure,To cure; to heal; to bring back to health,rekure
Rimose,Full of chinks; covered with cracks,rimose
Barracan,Fine silk cloth,barakan
Woodwose,"Wild man of the woods, used in heraldry as supporter; satyr or faun",wotwose
Monothelious,Polyandrous,monothelious
Astrobleme,Scar on the earth's surface from meteorite impact,astrobleme
Clinophobia,Fear of staying in bed,klinofobia
Fluorimeter,Instrument for measuring fluorescence,fluorimeter
Retromingent,Urinating rearwards,retrominjent
Sphenogram,Cuneiform character,sfenokram
Rotograph,Photograph made by laying negative on sensitive paper,rotokraf
Yodization,Insertion of a 'y' sound after a consonant,yotisaxion
Réseau,Network of lines used in star photographs,reseau
Heliograph,Instrument for measuring intensity of sunlight,heliokraf
Tetragrammaton,Sacred word or acronym of four letters,tetrakramaton
Butt,Unit of volume equal to two hogsheads or 126 gallons,but
Innitency,State of leaning or resting upon something,initens
Dragoman,Interpreter,trakoman
Gobemouche,Gullible person,kobemoukshe
Marry,Expression of surprised agreement,mar
Debel,To conquer in war,tebel
Jabiru,Large tropical stork with massive bill,jabiru
Xerarch,Growing in dry places,serarksh
Velation,Act of veiling; secrecy,felaxion
Ixiodic,"Of, like or pertaining to ticks",iksiotik
Postface,Concluding note added to end of written work,postfase
Intellection,Act of thinking; exercise of the intellect,intelekxion
Gymnasiarch,The head of a gymnasium,jmnaksiarksh
Ziganka,Russian country dance,sikanka
Appropinquity,Nearness,apropinkuit
Jinker,Light horse-drawn passenger carriage,jinker
Uberty,Fruitfulness; abundant productiveness,ubert
Obluctation,Resistance; opposition,obluktaxion
Idealism,Doctrine that reality is ultimately mental,itealism
Nebbich,Colourless; inconsequential person,nebiksh
Serpigo,Ringworm,serpiko
Trochiline,"Of, like or pertaining to hummingbirds",trokshiline
Agalactia,Failure or inability to produce milk,akalaktia
Gallimaufry,A mixture of different things; hodge-podge,kalimaufr
Synizesis,Movement of one part causing movement in another part,snisesis
Kente,Hand-woven African silk fabric,kente
Kettlestitch,Stitch made at head and tail of section of book to connect sections,ketlestitksh
Otology,Study of the ear,otoloj
Vandola,Stringed lute-like Spanish instrument,fantola
Lar,Local god of a house,lar
Limax,Slug,limaks
Cuneiform,Shaped like a wedge,kuneiform
Quantile,Any of a set of equal fractions of a given population,kuantile
Urent,Burning; stinging,urent
Pluvial,Floor-length open-fronted ecclesiastical garment,plufial
Nevus,Birthmark,nefus
Japanophilia,Love or admiration for Japan or the Japanese,japanofilia
Rhinology,Study of the nose,rhinoloj
Uranology,Study of the heavens; astronomy,uranoloj
Quantuplicity,Relative magnitude of a quantity,kuantuplisit
Witherling,Withered or decrepit person; an adversary,witherlink
Isopor,Line connecting points of equal annual change in magnetic field,isopor
Quotuple,What multiple,kuotuple
Coadjutor,Bishop assisting a diocesan bishop and having the right of succession,koatjutor
Stelography,Practice of writing inscriptions on columns or pillars,stelokraf
Xenium,Gift made to a guest or ambassador; any compulsory gift,senium
Zythum,Ancient Egyptian beer,sthum
Kalon,Beauty that is more than skin deep,kalon
Oxytocic,Drug that hastens the process of childbirth,okstosik
Zalambdodont,Having molar teeth with V-shaped ridges,salambtotont
Hypertrichologist,Person who treats unsightly facial hair,hpertriksholojist
Xenomenia,Menstruation from abnormal orifices,senomenia
Heroon,Temple to a hero; temple-shaped tomb,heron
Isocephaly,Arrangement of figures in art so that their heads are at the same height,isosefal
Polyonym,Name consisting of several words,polyonm
Interscribe,To write between,interskribe
Adventive,A thing or person coming from outside,atfentife
Gaud,Trick or practical joke,kaut
Philosophaster,Amateur or superficial philosopher,filosofaster
Tonsure,Shaving of small area on the crown of head of a priest or monk,tonsure
Brachal,Armour for the arm,brakshal
Mnesic,"Of, like or pertaining to memory",mnesik
Kausia,Macedonian felt hat with broad brim,kauksia
Sirenize,"To bewitch, allure or enchant",sirenise
Yew,"To rise, as a layer of froth in a boiling liquid",ye
Yarak,"Of a hawk, in good condition for hunting",yarak
Liturgiology,Study of liturgical forms and church rituals,liturjioloj
Succinic,"Of, pertaining to or derived from amber",suksinik
Pika,Rabbit-like mountain-dwelling mammal with rounded ears,pika
Lorgnette,Eyeglasses with a handle,lorknete
Volar,"Of, like or pertaining to the palm or the sole; of, like or pertaining to flight",folar
Lexigraphy,System of writing in which each sign represents a word,leksikraf
Kakaki,West African ceremonial trumpet,kakaki
Wroth,Wrathful; in commotion; stormy,rot
Funest,Deadly; lamentable,funest
Kismet,Fate; destiny,kismet
Zymosimeter,Instrument for measuring fermentation,smosimeter
Isography,Imitation of handwriting,isokraf
Geogony,Study of formation of the earth,jeokon
Jangada,Crude log raft,jankata
Dioecious,Having male and female sexual organs in different individuals,xioeksious
Naricorn,Horny termination of a bird's nostril,narikorn
Gimmal,Ring that can be divided into two or three rings,jimal
Kyrie,Religious petition for mercy,krie
Deictic,Directly demonstrating something or some proposition,teiktik
Sphecoid,Wasp-like,sfekoit
Quantophrenia,Obsessive reliance on statistics and mathematical results,kuantofrenia
Kilobase,Unit of measure of length of nucleic acid chain equal to 1000 base pairs,kilobase
Yrneh,Unit of reciprocal inductance,rne
Decrepitate,To crackle; to roast so as to cause to crackle,tekrepitate
Scaffmaster,Steward,skafmaster
Waits,Musicians employed to play on ceremonial occasions,waits
Languor,Listlessness; weariness,lankuor
Leptochrous,Abnormally thick-skinned,leptokshrous
Myography,Description of the muscles,myokraf
Batik,Method of dyeing fabric by covering certain sections with wax,batik
Benthos,Flora and fauna of the ocean floor,benthos
Querulous,Complaining; peevish,kuerulous
Diachoretic,Laxative,xiakshoretik
Pauciloquent,Of few words; speaking little,pausilokuent
Ravanastron,Ancient Hindu stringed instrument played with a bow,rafanastron
Jardon,Callous or swelling on a horse's leg,jarton
Cacography,Bad handwriting or spelling,kakokraf
Helobious,Living in marshes or moors,helobious
Quicksilver,Old name for mercury,kuiksilfer
Invitatory,Psalm or anthem sung before prayer during church service,infitator
Fougade,Piece of improvised artillery,foukate
Divellent,Drawing apart; pulling apart in pieces,tifelent
Yawl,Ship's small boat; sailboat carrying mainsail and one or more jibs,yal
Bisulcate,Cloven-footed; cleft in two,bisulkate
Wittol,One who knows wife's faithlessness and submits to it,witol
Aubin,Horse's gait between an amble and a gallop,aubin
Vitrescent,Tending to become glass,fitressent
Byssoid,Fibrous; cottony soft,bsoit
Dreikanter,Three-faced pebble worn by wind,treikanter
Mordacious,Given to biting; biting in quality,mortaksious
Rhinogenous,Deriving from the nose,rhinojenous
Tragedian,Writer or actor of tragedy,trajetian
Zeitgeber,Rhythmically occurring event that cues organisms' biological rhythms,seitjeber
Castellan,Governor of castle or fortification,kastelan
Imparlance,Delay in pleading for amicable adjustment,imparlanse
Hanaster,One who paid the entrance fee for Oxford's medieval merchant's guild,hanaster
Urtext,Earliest version of a text; original unmodified version,urtekst
Unicornic,Resembling a unicorn,unikornik
Queach,A thicket,kueaksh
Jessamy,Yellow like a jasmine,jesam
Bongo,Reddish African antelope with white vertical stripes,bonko
Geotaxis,Response of an organism to gravity,jeotaksis
Eozoic,Containing early evidence of animals,eosoik
Zymic,"Of, like or pertaining to fermentation",smik
Malagma,Emollient plaster,malakma
Rowlock,Contrivance serving as a fulcrum for an oar,rolok
Fandangle,Pretentious tomfoolery,fantankle
Longe,Rope used in training horses,lonje
Sectile,Capable of being cut easily with a knife,sektile
Warden,Kind of pear used in cooking,warten
Monophobia,Fear of being alone,monofobia
Cloaca,Sewer; toilet; cesspool of moral filth,kloaka
Ingluvious,Gluttonous,inklufious
Effodient,Burrowing,efotient
Gat,Opening or strait between two sandbanks,kat
Naskin,Prison,naskin
Rapprochement,Establishment of or state of cordial relations,raprokshement
Naiant,Swimming horizontally,naiant
Luteolous,Yellowish,luteolous
Marc,Refuse from winemaking,mark
Colliquation,The process of melting or wasting away,kolikuaxion
Distichous,In or having two rows,tistikshous
Ethmoid,Of or like a sieve,ethmoit
Theocentrism,Belief that God is central fact of existence,theosentrism
Epilate,To remove hair from,epilate
Brachiotomy,Amputation of an arm,brakshiotom
Fossulate,Grooved; pitted,fosulate
Halieutic,"Of, like or pertaining to fishing",halieutik
Panpygoptosis,Shortness of the legs,panpkoptosis
Laveer,To sail against the wind,lafer
Circumvolution,Anything winding or sinuous,sirkumfoluxion
Forisfamiliate,To emancipate from parental authority,forisfamiliate
Linonophobia,Fear of string,linonofobia
Démarche,Decisive course of action taken in diplomacy,temarkshe
Teleorganic,Vital,teleorkanik
Mandylion,Loose outer garment worn over armour,mantlion
Milquetoast,Very timid; unassertive person,milkuetoast
Excresence,Outgrowth; projection; tumour,ekskresense
Unguentary,"Of, like or pertaining to unguents; one who makes or sells unguents",unkuentar
Motile,Capable of moving spontaneously as a whole,motile
Oenomania,Obsession or craze for wine,oenomania
Apian,"Of, like or pertaining to bees",apian
Wheal,A Cornish mine,weal
Animastic,Spiritual; animate,animastik
Pace,Contrary to the opinion of; in respectful disagreement with,pase
Kern,Irish foot-soldier,kern
Kent-bugle,An obsolete keybugle,"kent,bukle"
Vigilous,Of or pertaining to watching,fijilous
Periculous,Dangerous,perikulous
Mucrone,Stiff sharp point forming an abrupt end,mukrone
Almandine,Violet-coloured garnet,almantine
Ophelimity,Ability to please sexually; ability to satisfy,ofelimit
Rusticity,Rustic manner; simplicity; rudeness,rustisit
Usitative,Signifying a usual act,usitatife
Prosopopoeia,Personification; representation of absent person as speaking,prosopopoeia
Effusiometer,Instrument for comparing molecular weights of gases,efuksiometer
Pyogenic,Pus-forming,pyojenik
Upbuilding,Development; edification,upbuiltink
Quire,Unit of 24 sheets of paper,kuire
Desman,Large European muskrat,tesman
Kidlet,A very little kid,kitlet
Foetiferous,Bearing or carrying a fetus,foetiferous
Demonym,Name for a resident of a place,temonm
Diluvial,"Of, like or pertaining to floods; especially mythical ones",tilufial
Formivorous,Eating ants,formiforous
Gid,Brain disease suffered by sheep,jit
Quondam,Former; sometime; formerly,kuontam
Muliebrity,Womanhood,muliebrit
Duende,Power to attract through personal charm,tuente
Quotatious,Tending to quote; given to quoting,kuotaxious
Kritarchy,Government by judges,kritarksh
Avulse,To pluck or tear away by force,afulse
Mammose,Shaped like a breast,mamose
Fustigate,To cudgel,fustikate
Vespiform,Having the shape of a wasp,fespiform
Escalade,Crossing moat or scaling wall using ladders,eskalate
Kop,Bank of terracing at a football field,kop
Kantele,Finnish zither,kantele
Flivver,Cheap car or airplane,flifer
Jumar,Mountaineering clip that grips rope when weight is applied,jumar
Brash,Collection of broken pieces of rock or ice,braksh
Burrstone,Type of rock used to make millstones,burstone
Ultroneous,Spontaneous; voluntary,ultroneous
Inconscient,Unconscious; abstracted,inkonssient
Xylography,Art of engraving on wood,slokraf
Serigraphy,Silk-screening,serikraf
Quartodeciman,Early Christian who celebrated Easter on Passover even if not a Sunday,kuartotesiman
Quacksalver,One who falsely pretends to knowledge of medicine,kuaksalfer
Graupel,Frozen rain or snowflakes,kraupel
Eromancy,Divination using water vessels,eromans
Cubomancy,Divination by throwing dice,kubomans
Ultimogeniture,Inheritance by the last son,ultimojeniture
Zoiatrics,Veterinary surgery,soiatriks
Urdé,Pointed; having points,urte
Jampan,An Indian sedan chair,jampan
Umbrose,Shade-giving; dusky,umbrose
Jibboom,Spar forming an extension of the bowsprit,jibom
Defluvium,Falling of hair,teflufium
Gynics,Knowledge of women,jniks
Prevenancy,Courteous anticipation of others' wishes,prefenans
Kwashiorkor,Tropical disease of infants due to protein deficiency,kwakshiorkor
Seminiferous,Seed-bearing,seminiferous
Roband,Piece of yarn used to fasten a sail to a spar,robant
Saporine,"Of, like or pertaining to the sense of taste",saporine
Thelytoky,Parthenogenetic production of females only,theltok
Bastion,Tower at the corner of a fortification,basxion
Trogon,Tropical bird with brilliant plumage,trokon
Modiste,A maker or seller of fashionable dresses and hats,motiste
Jib,Small triangular sail extending from the head of the foremast,jib
Quinquadrate,A thirty-second power of a number,kuinkuatrate
Uniplicate,Having only one fold,uniplikate
Bolero,Spanish dance with sudden pauses and sharp turns,bolero
Vinous,Like wine; pertaining to wine; deep red or wine-coloured,finous
Barathea,Pebbly silk or worsted fabric with broken rib weave,barathea
Piolet,Ice-axe,piolet
Catenarian,"Of, like or pertaining to chains",katenarian
Winterim,Short winter term at a private school designed for personal study,winterim
Fracedinous,Creating heat through putrefaction,frasetinous
Unasinous,Being equally stupid,unasinous
Rondure,Gracefully rounded curvature,ronture
Palaeolimnology,Study of ancient fish or lakes,palaeolimnoloj
Ultimation,Process of bringing to a conclusion,ultimaxion
Spicigerous,Bearing spikes,spisijerous
Vincture,Something that binds,finkture
Meleagrine,"Of, like or pertaining to turkeys",meleakrine
Helotage,The state of helots or being enslaved,helotaje
Theriatrics,Veterinary medicine,theriatriks
Hylomorphism,Belief that matter is cause of the universe,hlomorfism
Ingluvies,A crop or craw of birds,inklufies
Joss,"Luck, fate",jos
Latifundia,Great landed estates,latifuntia
Vasifactive,Producing small vessels in tissue,fasifaktife
Young,To present the younger side of a geological formation,younk
Amphigory,A nonsense verse,amfikor
Qua,In the capacity of,kua
Naissance,New development; birth,naisanse
Iatrogenic,Induced inadvertently by medical treatment,iatrojenik
Frumentaceous,Resembling wheat or other grain,frumentaseous
Wagonette,"Carriage with one crosswise seat in front, two seats in back",wakonete
Olm,Blind aquatic cave-dwelling European salamander,olm
Saltigrade,Progressing by leaps,saltikrate
Vettura,"Carriage, cab or car",fetura
Ossifrage,Osprey,osifraje
Anagogy,Mystical interpretation,anakoj
Synecdoche,Part used to refer to whole or vice versa,snektokshe
Deflexure,Deviation,tefleksure
Palette,Small plate covering the armpit joint in a suit of armour,palete
Geophone,Device for detecting sound waves underground,jeofone
Stratarchy,Rulership over an army,stratarksh
Conchology,Study of shells,konksholoj
