word,definition,pronunciation
Kereru,Pigeon variety of New Zealand,kereru
Undeify,To deprive of the nature of a god,unteif
Symposiarch,Leader of a conference,smpoksiarksh
Xenocracy,Government by a body of foreigners,senokras
Chiffonier,Chest of drawers,shifonier
Vendition,Sale,fentixion
Carking,Imposing great hardship or strain,karkink
Lanigerous,Bearing wool,lanijerous
Brachydactylous,Having short or stubby fingers,brakshtaktlous
Trema,An orifice; a dieresis,trema
Nephrography,Description or imagery of the kidneys,nefrokraf
Agrostology,Science or study of grasses,akrostoloj
Orphrey,Gold or other rich embroidery on clerical robes,orfre
Glyptology,Study of gem engravings,klptoloj
Xanthophyll,Substance causing yellow colour of autumn leaves,santhofl
Panary,"Of, like or pertaining to bread; bread store",panar
Knickerbockers,Loose breeches gathered in at the knee,nikerboker
Lampyridine,"Of, like or pertaining or pertaining to glow-worms or fireflies",lampritine
Farris,Female blacksmith,faris
Humpenscrump,Crude musical instrument like a hurdy-gurdy,humpenskrump
Isodiabatic,Having equal transmission of heat,isoxiabatik
Uliginous,Slimy; oozy; swampy; growing in swampy places,ulijinous
Resection,Cutting away a part of; especially the end,resekxion
Questmonger,One whose occupation is to conduct inquests,kuestmonjer
Tristachyous,Three-spiked,tristakshyous
Latipennate,Having broad wings,latipenate
Hylogenesis,The origin of matter,hlojenesis
Abolla,Roman military cloak,abola
Mantic,"Of, like or pertaining to divination; prophetic; divinely inspired",mantik
Astrologaster,A foolish or petty astrologer,astrolokaster
Headstock,Device for supporting end or head of a member,heatstok
Siphonogamous,Reproducing by seeds,sifonokamous
Nascent,Immature; in process of birth,nassent
Yarling,Wailing; howling,yarlink
Magianism,Teachings or philosophy of the magi,majianism
Havelock,White cover for a military cap,hafelok
Quadrigeminal,In four similar or equal parts,kuatrijeminal
Epagomenal,Intercalary; inserted between others,epakomenal
Logogogue,One who issues laws or rules regarding words,lokokokue
Idolum,Mental image; logical fallacy,itolum
Ukase,Edict; proclamation by an autocratic government,ukase
Hemialgia,Pain in one side of the body alone,hemialjia
Raddle,Flexible rod used to make hurdles or fences,ratle
Quassia,Tropical tree whose bark is used to make a bitter medicinal product,kuaksia
Limicoline,"Living on a shore; of, like or pertaining to wading birds",limikoline
Forthwith,Immediately,forthwith
Precognosce,To take a precognition of,prekoknosse
Goatish,Lustful; foolish,koatiksh
Rooibok,Impala,roibok
Zeme,Caribbean idol or totem,seme
Ventifact,Stone polished by wind-blown sand,fentifakt
Ecophobia,Fear of home,ekofobia
Lactogenic,Producing milk,laktojenik
Cocker,To pamper; to indulge,koker
Ruth,Pity; remorse; sorrow,ruth
Haycock,Conical pile of hay in a field,hakok
Anzactile,Army biscuit,ansaktile
Vibrissation,Quavering or shaking in the voice,fibrisaxion
Chrism,Consecrated or holy oil,shrism
Acrophonic,Using a symbol for the initial sound of a thing,akrofonik
Obtundent,Dulling,obtuntent
Utilitarianism,Belief that utility of actions determines moral value,utilitarianism
Jaggery,Coarse and dark sugar,jajer
Anadem,"Wreath, fillet or band",anatem
Tore,Surface described by rotation of conic section about a line,tore
Gratulatory,Congratulatory,kratulator
Lysigenic,Caused by the breaking down of cells,lsijenik
Navarchy,Rulership over the seas,nafarksh
Therm,"Unit of quantity of heat equal to 100,000 British thermal units",therm
Yu,Precious jade,yu
Viripotent,Fit for a husband; marriageable,firipotent
Whittle,A woollen shawl or blanket,witle
Populicide,Killing of the population of an area or nation,populisite
Naufrague,Shipwrecked person,naufrakue
Thanatography,Narrative of a death,thanatokraf
Fabiform,Shaped like a bean,fabiform
Isostere,Line connecting points of equal specific volume of a substance,isostere
Maritodespotism,Ruthless domination by a husband,maritotespotism
Bavin,A bundle of brushwood,bafin
Ichnography,Art of drawing ground plans; a ground plan,ikshnokraf
Formication,Sensation like ants crawling on the skin,formikaxion
Passant,Heraldic animal depicted walking,pasant
Hoplarchy,Government by the military,hoplarksh
Dactylology,Study of sign language,taktloloj
Purblind,Nearly blind,purblint
Foveate,Pitted,fofeate
Ferula,Flat piece of wood,ferula
Doria,Striped cotton muslin,toria
Jackstaff,Short staff at ship's bow from which the jack is hoisted,jakstaf
Lachrymogenic,Causing tears or weeping,lakshrmojenik
Roorback,Defamatory falsehood published for political effect,rorbak
Amaranth,Imaginary flower reputed never to fade,amaranth
Perseverate,To repeat an action continually or habitually,perseferate
Ideogram,Symbol that stands for a concept rather than a word,iteokram
Lanai,Private balcony in a hotel room,lanai
Gastrology,Good eating; cookery,kastroloj
Acolous,Limbless,akolous
Kriegspiel,War-game used to teach strategy,kriekspiel
Flype,To strip back; to turn partially inside out,flpe
Ishies,Hip-joints,ikshies
Osphresis,Sense of smell,osfresis
Lotic,Associated with or living in running water,lotik
Funipendulous,Hanging by a rope or cord,funipentulous
Vaurien,Good-for-nothing; worthless person,faurien
Quarterdeck,Part of ship's deck set aside by captain for ceremonial functions,kuartertek
Vocicultural,"Of, like or pertaining to voice training",fosikultural
Semestral,Half-yearly,semestral
Zygomorphic,Bilaterally symmetrical,skomorfik
Monoblepsia,Colour-blindness for all but one colour,monoblepksia
Kersey,Coarse woollen cloth,kerse
Encaenia,Anniversary festival of renewal of an institution,enkaenia
Eosophobia,Fear of dawn,eosofobia
Quotity,Proportion,kuotit
Neomorphic,Developed suddenly and not inherited,neomorfik
Consociate,To ally or associate,konsoksiate
Trypanocide,Killing of trypanosomes,trpanosite
Exemplum,Short story or anecdote with a moral,eksemplum
Oroide,Alloy used to imitate gold,oroite
Risorial,"Of, like or pertaining to or causing laughter",risorial
Flumen,Right to direct excess rain water to neighbour's yard,flumen
Decastich,Ten-line poem,tekastiksh
Yobbery,Hooliganism,yober
Bellonion,Mechanical instrument combining trumpets and drums,belonion
Theurgy,Magic or miracles by the agency of good spirits,theurj
Kermesse,Cycle race held in an urban area,kermese
Xyloglyphy,Wood-carving,sloklf
Dionym,Name containing two parts or terms,xionm
Culet,Flat back or base of a gemstone,kulet
Lendrumbilate,To gullibly believe in a word's veracity,lentrumbilate
Phallephoric,Carrying the penis,faleforik
Versus,Against; in contrast to,fersus
Flench,To cut up the blubber of; to flay,flenksh
Venenation,Poisoning,fenenaxion
Battology,"Futile, futile repetition in speech or writing",batoloj
Quindecad,Set of fifteen things,kuintekat
Vernalization,To artificially chill seeds to hasten flowering in spring,fernalisaxion
Vaginula,Little sheath,fajinula
Braguette,Armoured codpiece,brakuete
Stay,Large rope used to support a mast,sta
Brigue,To intrigue,brikue
Zollverein,Customs union,solferein
Vituline,"Of, like or pertaining to calves or veal",fituline
Whiss,To hiss or whistle,wis
Heteroscian,Dweller of a temperate zone,heterosksian
Barbula,Small tuft of hair just below the lower lip,barbula
Hypodynamia,Loss of strength,hpotnamia
Muffineer,Dish for keeping muffins hot,mufiner
Blendling,Hybrid,blentlink
Satnav,Satellite-assisted navigation,satnaf
Xystarch,Ancient Greek officer in charge of gymnastic exercises,sstarksh
Fleuret,Ornament resembling a small flower,fleuret
Quaestionary,Religious pardoner,kuaesxionar
Hieropathic,Pertaining to a strong love of the clergy,hieropathik
Wrackful,Destructive,rakfu
Quingenarious,Relating to the number five hundred,kuinjenarious
Dimerous,Consisting of two parts,timerous
Empaestic,"Of, like or pertaining to the art of embossing",empaestik
Vasculum,Botanist's collecting case,faskulum
Islandic,Of or pertaining to an island,islantik
Nary,Not a one; not at all,nar
Rhabdos,Magic wand,rhabtos
Onomatomania,Irresistible desire to repeat certain words,onomatomania
Interclude,To block; to enclose; to cut off,interklute
Zoanthropy,Delusion that one is an animal,soanthrop
Gastropod,Mollusks including snails; slugs; whelks,kastropot
Drosometer,Instrument for measuring dew,trosometer
Induviae,Withered leaves which persist on plants,intufiae
Leeboard,Wood or metal planes attached to hull to prevent leeway,leboart
Critomancy,Divination using viands and cakes,kritomans
Hypercatalectic,Having an extra syllable on the end of a line of verse,hperkatalektik
Lulav,Palm-frond waved at certain Jewish religious services,lulaf
Rhexis,Rupture of a blood-vessel,rheksis
Watchet,Pale blue,watkshet
Carminative,"Expelling, causing or relieving flatulence",karminatife
Jorum,Large bowl containing drinks,jorum
Whitster,Bleacher of cloth and clothing,witster
Quasquicentennial,One hundred twenty-fifth anniversary,kuaskuisentenial
Chirogymnast,Finger exercise machine for pianists,shirojmnast
Timoneer,Helmsman,timoner
Zoogyroscope,Device for depicting the movement of animals through rotating images,sojroskope
Youthquake,The series of cultural upheavals of the 1960s,youthkuake
Vielle,Four-stringed instrument played with a small wheel,fiele
Rubster,Lesbian,rubster
Heterothermal,Taking the temperature of the surroundings,heterothermal
Inglenook,Alcove by a large open fire,inklenok
Bourgeoisification,Conversion to a bourgeois way of life or perspective,bourjeoisifikaxion
Almoner,Giver of alms; social worker in a hospital,almoner
Ingravescent,Becoming more severe,inkrafessent
Tussock,A compact tuft of grass or sedge,tusok
Prairillon,Small prairie,prairilon
Cataplexy,Condition feigning death used by animals,katapleks
Zincography,Process of engraving or etching on zinc,sinkokraf
Lorimer,Saddlemaker,lorimer
Edaphic,"Of, like or pertaining to the soil",etafik
Entasis,Swelling on vertical columns to counteract optical illusion of concavity,entasis
Iconism,Imagery; metaphor,ikonism
Leptometer,Instrument for measuring oil viscosity,leptometer
Wair,Timber of six feet in length and one foot in width,wair
Quoiceneck,Grey iridescent shale,kuoisenek
Quercitron,Yellowish pigment derived from bark of a variety of oak,kuersitron
Jaculation,The act of throwing or hurling,jakulaxion
Sinistration,Moving to the left,sinistraxion
Volutation,Action of rolling; turning; wallowing,folutaxion
Ultrafidian,Going beyond faith,ultrafitian
Jibe,To change a ship's course to make the boom shift sides,jibe
Univocal,Unmistakeable; unequivocal,unifokal
Anapeiratic,Caused by excessive use,anapeiratik
Lythcoop,Auction of household goods,lthkop
Hoary,Pale silver-grey colour; grey with age,hoar
Wayboard,Thin geological seam separating larger strata,waboart
Bibliotaph,One who hoards or hides books,bibliotaf
Nubecula,A cloudiness,nubekula
Cribble,To decorate wood or metal with small dots or punctures,krible
Zoopathology,Study of animal diseases,sopatholoj
Wyrd,The personification of fate or destiny,rt
Aliphatic,"Of, like or pertaining to fat or fats in general",alifatik
Deontic,Of or relating to duty or obligation,teontik
Gerontocracy,Government by the aged,jerontokras
Acarophobia,Fear of itching or of insects causing itching,akarofobia
Zebroid,Like or resembling a zebra,sebroit
Quadragesimal,"Of, like or pertaining to Lent; lasting forty days",kuatrajesimal
Sciolism,Superficial pretensions to knowledge,sksiolism
Joinder,Legal uniting or joining,jointer
Kraken,Legendary sea monster,kraken
Fretum,Strait,fretum
Hoplite,A heavily armed Greek foot soldier,hoplite
Crachoir,Spittoon,krakshoir
Anacrusis,Syllable prior to the normal rhythm of a verse,anakrusis
Serrurerie,Wrought iron work,serurerie
Knick-knackatory,Collection of knick-knacks,"nik,nakator"
Quisby,An idler; suspicious or odd,kuisb
Nychthemeral,"Of, like or pertaining to a nychthemeron or 24-hour period",nkshthemeral
Wardmote,Meeting of a ward or a court of a ward,wartmote
Hexamerous,Having six parts,heksamerous
Waulk,To full cloth,waulk
Branchiform,Gill-shaped,brankshiform
Eolation,Geological effects of the wind,eolaxion
Ostreiform,Shaped like an oyster,ostreiform
Quintroon,Old term for someone who is of 1/16 black descent,kuintron
Quisquilious,Made of rubbish,kuiskuilious
Densimeter,Instrument for measuring closeness of grain of a substance,tensimeter
Garboard,Plank on a ship's bottom next to the keel,karboart
Hyetology,Science of rainfall,hyetoloj
Panmixia,Cessation of the influence of natural selection,panmiksia
Masseter,Muscle used to move the lower jaw,maseter
Ticking,Strong linen or cotton fabric used for mattress and pillow cases,tikink
Ingeminate,To reiterate; to redouble,injeminate
Geratology,Study of decadence and decay,jeratoloj
Humgruffin,Terrible person,humkrufin
Zol,Hand-rolled cannabis cigarette,sol
Wayzgoose,Annual employees' dinner or outing,waskose
Vitrifacture,Glassblowing,fitrifakture
Whipcat,Tailor,wipkat
Spuria,Spurious works,spuria
Inveterate,Long-established; confirmed,infeterate
Iatromathematics,Archaic practice of medicine in conjunction with astrology,iatromathematiks
Gad,To wander about idly or in pursuit of pleasure,kat
Hyperarchy,Excessive government,hperarksh
Rheometer,Instrument that measures current,rheometer
Neurogenesis,Production or generation of nerves,neurojenesis
Numismatography,Systematic description of coins,numismatokraf
Ustion,Action of burning or searing,usxion
Xenolalia,Person's knowledge of a language never studied,senolalia
Interrex,One who rules during an interregnum; regent,intereks
Écorché,A human figure portrayed stripped of the skin,ekorkshe
Mizzle,To rain in small drops,misle
Latitudinarianism,Doctrine of broad liberality in religious belief and conduct,latitutinarianism
Volta,Old leaping dance,folta
Baroscope,Weather-glass,baroskope
Quodlibetificate,To quibble with,kuotlibetifikate
Distributary,Branch of river that flows away from the main stream,tistributar
Xenodochial,Hospitable; kindly to strangers,senotokshial
Pterography,Treatise or description of feathers,pterokraf
Subfusc,Dusky; sombre,subfusk
Vesuvian,Smoker's slow-burning match,fesufian
Fanfaronade,Grandiose trumpet blast,fanfaronate
Molendinar,"Of, like or pertaining to a mill or miller",molentinar
Neolatry,Worship of novelty,neolatr
Wippen,Part of piano hammer raised when note played,wipen
Taseometer,Instrument for measuring stress in a structure,taseometer
Fungible,Interchangeable,funjible
Brattice,Fixed tower of wood on a castle wall,bratise
Dal,"A dried legume, such as lentils, beans or peas",tal
Isograph,Line connecting points of same linguistic usage in some respect,isokraf
Connubial,"Of, like or pertaining to marriage",konubial
Fusain,Fine charcoal used in drawing,fusain
Boutade,Sudden outburst,boutate
Bersatrix,Baby-sitter,bersatriks
Zoography,The painting or description of animals,sokraf
Grassing,Bleaching by exposure on grass,krasink
Fantasticate,To fantasize over something,fantastikate
Endophagy,Cannibalism within a tribe; eating away from within,entofaj
Macaronic,Muddled or mixed-up,makaronik
Jerkinhead,Truncated gable with a lipped roof,jerkinheat
Globuliferous,Bearing globules,klobuliferous
Sondage,Trial bore or excavation; sounding out of opinion,sontaje
Neorama,View of interior of building,neorama
Rhizogenic,Producing or growing roots,rhisojenik
Iatramelia,Medical negligence,iatramelia
Pecuniary,"Of, like or pertaining to money; consisting of money",pekuniar
Epicedial,"Of, like or pertaining to dirges or elegies",episexial
Janizary,A follower or supporter,janisar
Sporogenesis,Reproduction by means of spores,sporojenesis
Baldaquin,Covering or canopy over a throne or altar,baltakuin
Superciliary,"Of, on or near the eyebrow",supersiliar
Saffron,Orange-yellow,safron
Quixotism,Idealistic or quixotic principles or beliefs,kuiksotism
Defalcate,To embezzle money held on trust,tefalkate
Killcrop,Greedy insatiable baby; a changeling,kilkrop
Grafology,Divination by studying writing,krafoloj
Jugate,Side by side; in pairs; overlapping,jukate
Solferino,Purplish red,solferino
Pinguid,Fat,pinkuit
Gyniolatry,Deep respect or devotion for women,jniolatr
Dogwatch,"A short, evening period of watch duty on a ship",tokwatksh
Quince,"Orange-coloured, pear-shaped fruit",kuinse
Upas,Poisonous or harmful institution or influence,upas
Ergograph,Instrument for measuring and recording muscular work,erkokraf
Rhinocerotic,"Of, like or pertaining to the rhinoceros",rhinoserotik
Entomical,"Of, like or pertaining to insects",entomikal
Ovil,Sheep-fold,ofil
Porphyrogeniture,Accession of 1st son born after father's accession,porfrojeniture
Rostelliform,Shaped like a small beak,rosteliform
Qoph,A Hebrew letter,kof
Osteoid,Bony; bone-like,osteoit
Cardimelech,Supposed vital force causing heart to work,kartimeleksh
Trammel,Device used to hold pots and pans over a fire,tramel
Latrocinate,To engage in highway robbery,latrosinate
Jamb,Metal leg-armour,jam
Phaneromania,Habit of biting one's nails,faneromania
Stichometry,Numbering or counting lines in books or documents,stikshometr
Duiker,Small African antelope,tuiker
Remontant,Flowering more than once per season,remontant
Apophasis,Saying something by stating that you will not mention it,apofasis
Stagnicolous,Living in stagnant water,staknikolous
Blenny,Small elongated marine fish,blen
Canary,Lively Renaissance courtly dance,kanar
Immunifacient,Causing immunity,imunifasient
Zule,"In heraldry, a chess rook",sule
Photodromy,Motion towards light,fototrom
Neckatee,Scarf worn around the neck or head,nekate
Zoonosology,Study of animal diseases,sonosoloj
Delphically,Enigmatically; obscurely,telfikal
Idiomology,"Study of idiom, jargon or dialect",ixiomoloj
Lammergeier,Giant vulture-like bird of prey,lamerjeier
Significs,Science of meaning,siknifiks
Juxtapositive,Indicating juxtaposition,jukstapositife
Yips,Nervous state in golf causing player to miss an easy putt,yips
Pedigerous,Having or bearing feet,petijerous
Tumbrel,Old instrument of punishment like a pillory,tumbrel
Lyophile,Easily dispersed in a suitable medium,lyofile
Zygnomic,Legally supported constraint on human freedom,sknomik
Canorous,Musical; singing; resonant,kanorous
Gazar,Silk organza fabric,kasar
Omniferous,Bearing everything,omniferous
Absolutory,Forgiving or absolving,absolutor
Stridulate,To make a chirping or scraping sound,stritulate
Splenium,Surgical bandage,splenium
Commove,To excite; to put into motion; to disturb,komofe
Zoetrope,Slotted rotating cylinder producing primitive animation,soetrope
Hypostrophe,Return to primary argument after digression,hpostrofe
Opsiometer,Instrument for testing vision,opksiometer
Ashplant,Walking stick,akshplant
Deltiology,The collection and study of picture postcards,telxioloj
Woodmeal,Sawdust and other wood waste used as industrial filler,wotmeal
Zoophorus,Continuous frieze depicting humans and animals,soforus
Zeugma,Use of a word to modify two or more words in different ways,seukma
Plenilunar,"Of, like or pertaining to the full moon",plenilunar
Paraclete,Advocate or intercessor; the Holy Spirit acting in such a role,paraklete
Demiurge,Creative spirit or entity,temiurje
Nostomania,Abnormal desire to go back to familiar places,nostomania
Dissolute,Of loose morals; debauched,tisolute
Consciuncle,Pedantic or hair-splitting conscience,konssiunkle
Heterotaxis,Anomalous arrangement of body parts,heterotaksis
Exotropia,Outward squint,eksotropia
Fourchette,Anything forked,fourkshete
Nasillate,To speak in a nasal manner,nasilate
Bibliophily,Love or fondness for books or reading,bibliofil
Apophoret,A gift given to celebrate a new year,apoforet
Ooidal,Egg-shaped,oital
Ragmatical,Wild; ill-behaved,rakmatikal
Vedro,Russian unit of liquid measure equal to 2.7 gallons,fetro
Isochar,Line connecting points of similar distinguishing characteristics of plant life,isokshar
Excorticate,To strip the bark off of,ekskortikate
Fain,Happy; inclined; pleased,fain
Unicity,Uniqueness; oneness,unisit
Yike,Imitation of the woodpecker's cry,yike
Remigate,To row,remikate
Dapocaginous,Mean-spirited; heartless,tapokajinous
Brouette,Small two-wheeled carriage,brouete
Patten,Wooden shoe; clog; base of a pillar,paten
Lambrequin,Hood or covering for a helmet,lambrekuin
Agrestic,Of the fields; rural; unpolished,akrestik
Microbarograph,Instrument for recording minute changes in atmospheric pressure,mikrobarokraf
Fuji,Plain spun silk fabric,fuji
Babirusa,Large wild pig of Indonesia,babirusa
Blazon,Heraldic arms painted on knight's shield or surcoat; to describe heraldically,blason
Substratose,Imperfectly stratified,substratose
Enigmatology,Study of enigmas,enikmatoloj
Usance,Habit; custom,usanse
Asseveration,Positive or earnest affirmation,aseferaxion
Limnophilous,Living in ponds or marshes,limnofilous
Hermetic,"Of, like or pertaining to sorcery or alchemy",hermetik
Jeroboam,Large bottle for holding equivalent of 6 ordinary wine bottles,jeroboam
Vertiginous,"Of, like or pertaining to vertigo; dizzy; giddy",fertijinous
Bathyorographical,"Of, like or pertaining to depth underwater or elevation above sea level",bathyorokrafikal
Ethnonym,Name for an ethnic group,ethnonm
Pavior,One who lays down paving stones,pafior
Prill,Nodule of metal obtained after assaying,pril
Torfaceous,Growing in mosses or bogs,torfaseous
Prest,To loan,prest
Gnosis,Knowledge; especially spiritual,nosi
Jacent,Lying flat; sluggish,jasent
Delaminate,To split into layers,telaminate
Drygulch,To murder by pushing off a cliff,trkulksh
Pleurotropous,Laterally flattened,pleurotropous
Glottogonic,"Of, like or pertaining to the origins of language",klotokonik
Oligogenics,Birth control,olikojeniks
Secco,Painting on dry plaster,sekko
Dentirostral,With notched beak,tentirostral
Engrenage,Series of decisions leading towards unspoken goal,enkrenaje
Dystopia,Place where all is as bad as possible,tstopia
Emulge,To milk or drain out,emulje
Effulge,To shine out; to beam,efulje
Spheristerion,Place for exercise in ball-play,sferisterion
Karezza,Prolonged sex avoiding orgasm,karesa
Xanthodont,One with yellow teeth,santhotont
Diaconal,"Of, like or pertaining to a deacon",xiakonal
Horrescent,Expressing or showing horror,horessent
Virilia,Male reproductive organs,firilia
Ostreoid,Oyster-like,ostreoit
Zonule,Small zone,sonule
Heliotrope,Purplish hue; purplish-flowered plant; ancient sundial; signalling mirror,heliotrope
Tropological,Characterized by tropes or figures of speech,tropolojikal
Tortious,Committing a wrongful deed,torxious
Wale,To choose; the act of choosing,wale
Epithymetic,"Of, like or pertaining to desire",epithmetik
Spiration,Act of breathing,spiraxion
Wardcorn,Payment of corn in place of military service,wartkorn
Kasha,Porridge or gruel-like dish made from crushed buckwheat,kaksha
Vermeology,Study of worms,fermeoloj
Dynamometer,Instrument for measuring mechanical force,tnamometer
Bolide,Large meteor that bursts; a fireball,bolite
Venerer,Gamekeeper; hunter,fenerer
Irresultive,Having no result,iresultife
Bonify,To improve or ameliorate,bonif
Fascia,Board over a shop-front,fasksia
Planity,The quality of being plane,planit
Omnicompetent,Legally competent in all matters,omnikompetent
Whittawer,One who makes saddles or harnesses,witawer
Xanthic,Yellow; yellowish,santhik
Sepal,Division of the calyx of a flower,sepal
Reflectometer,Instrument for measuring reflectance of radiant energy,reflektometer
Wheeple,To whistle feebly,weple
Jimswinger,A frock coat,jimswinjer
Monomorphic,Having only one form,monomorfik
Misosophy,Hatred of knowledge or wisdom,misosof
Oculiform,Shaped like an eye,okuliform
Filature,Drawing out of threads,filature
Diphyletic,Descended from two distinct ancestral groups,tifletik
Fullonical,"Of, like or pertaining or belonging to a fuller",fulonikal
Stampomania,Obsession with stamp-collecting,stampomania
Flancard,Armour for the thigh,flankart
Harmoniphone,Keyboard instrument with reeds,harmonifone
Potager,Garden laid out in a decorative way,potajer
Yewen,Made of yew-wood,yewen
Monoculus,One-eyed person,monokulus
Epistrophe,Ending of successive clauses with the same word,epistrofe
Jaculiferous,Having arrow-like prickles,jakuliferous
Quoniam,Female genitals,kuoniam
Naevous,Spotted; freckled,naefous
Ornithophobia,Fear of birds,ornithofobia
Quadrennium,Period of four years,kuatrenium
Natiform,Shaped like buttocks,natiform
Quicksticks,Without delay,kuikstiks
Affranchise,To free from slavery or similar obligation,afrankshise
Trippet,Part of machine which strikes another part regularly,tripet
Ophthalmometer,Instrument for measuring the eye,ofthalmometer
Jurisconsult,Legal expert,juriskonsult
Turnspit,Person who turns a roasting spit,turnspit
Rubigo,Mildew; blight,rubiko
Kentledge,Pig-iron used as ballast in ship's hold,kentlejje
Erotomania,Abnormally powerful sex drive,erotomania
Zeze,Stringed instrument resembling a zither,seze
Hydrognosy,Historical account of water surfaces of the earth,htroknos
Sisal,Fibre used for making rope,sisal
Neoslave,One who is re-enslaved or employed at near-slavery conditions,neoslafe
Planchet,Blank metal disc to be stamped as a coin,plankshet
Muscoid,"Of, like or pertaining to mosses; moss-like",muskoit
Jesuitocracy,Government by Jesuits,jesuitokras
Yedda,Grass used to make straw hats,yeta
Régisseur,Stage manager; director; manager,rejiseur
Sophism,Deceptive but plausible intellectualism,sofism
Dehors,Outside of,tehors
Chiminage,Toll paid for going through a forest,shiminaje
Aspersed,"In heraldry, covered with an indefinite number of small figures",asperset
Camaïeu,Monotonous or uninteresting play or literary work,kamaieu
Broderie,Embroidery pattern,broterie
Odible,Worthy of hatred,otible
Finial,Decoration on the top of a gable or spire,finial
Impletion,Filling; fullness; fulfilment,implexion
Heliology,Science of the sun,helioloj
Biune,Combining two entities into one,biune
Vireo,Olive-gray insectivorous American bird,fireo
Zoon,Organism regarded as a complete animal,son
Gnomonics,The art of measuring time using sundials,nomonik
Zwischenzug,Chess move made to play for time,swiskhenzuk
Mutivity,Tendency to alter,mutifit
Epanorthosis,Retraction of statement in order to intensify it,epanorthosis
Xenogamy,Cross-fertilization,senokam
Multisulcate,Many-furrowed,multisulkate
Waterage,Fee paid for travelling on water,wateraje
Graphemics,Study of systems of representing speech in writing,krafemiks
Meatus,Opening of a passage or canal,meatus
Roulade,Melodic embellishment sung to one syllable,roulate
Whiffler,Official who clears way for a procession,wifler
Percipient,Perceiving; observant; perceptive,persipient
Probouleutic,For preliminary deliberation,probouleutik
Vorpal,Keen; deadly,forpal
Neoteny,Retention of juvenile characteristics in a mature organism,neoten
Quiff,Tuft of hair brushed away from the forehead; oiled lock of hair,kuif
Ylem,"In alchemy, substance from which the elements developed",lem
Equivorous,Consuming horseflesh,ekuiforous
Herpetology,Study of reptiles and amphibians,herpetoloj
Umbracious,Shady,umbraksious
Reptation,Act of squirming along a smooth-walled narrow passage,reptaxion
Etamine,Light open-mesh cotton or worsted,etamine
Twingle,To wriggle; to twist,twinkle
Foss,"Ditch, moat, trench or canal",fos
Jansky,Unit of strength of radio wave emission,jansk
Lavic,"Of, like or pertaining to lava",lafik
Hypsometer,Instrument for measuring height of trees through triangulation,hpsometer
Myasthenia,Muscular weakness or debility,myasthenia
Quadragenarian,A person between 40 and 49 years of age,kuatrajenarian
Cispontine,On this or the near side of a bridge,sispontine
Évolué,Primitive person educated in modern ways,efolue
Keelhaul,To punish by dragging under keel of ship,kelhaul
Yelm,A straight bundle of straw used for thatching,yelm
Kelpie,Mischievous water spirit,kelpie
Xenomancy,Divination using strangers,senomans
Bletonism,Alleged ability to find an underground water supply,bletonism
Anchorite,One withdrawn from the world for religious reasons,ankshorite
Bloomery,Factory where iron bars are manufactured,blomer
Lepidopterology,Study of butterflies and moths,lepitopteroloj
Vafrous,Cunning; sly,fafrous
Kish,Solid graphite that separates from pig-iron,kiksh
Vagantes,Wandering monk-scholars,fakantes
Handfast,A firm grip; a contract,hantfast
Entremets,Edible pastry sculpture served between main courses,entremets
Lichenography,Description of lichens,likshenokraf
Zatch,Female genitalia,satksh
Feckless,Feeble; helpless; futile; ineffectual,fekles
Bywoner,Agricultural labourer,bwoner
Egoism,Doctrine that the pursuit of self-interest is the highest good,ekoism
Ulosis,Formation of a scar,ulosis
Gleed,Hot coal; burning ember,klet
Sept,Division of a tribe; clan,sept
Balustrade,Row of columns supporting a stair rail,balustrate
Yird,To bury,yirt
Lyterian,Indicating the end of a disease,lterian
Pectineal,Of the pubic bone,pektineal
Osmidrosis,Emission of ill-smelling sweat,osmitrosis
Narrowcast,To transmit a program aimed at a small segment of the populace,narokast
Contrist,To sadden,kontrist
Scribbleomania,Obsession with scribbling,skribleomania
Prunt,Moulded glass ornament attached to a larger glass object,prunt
Hemiplegic,Paralyzed on one side only,hemiplejik
Volucrine,"Of, like or pertaining to birds; bird-like",folukrine
Crinigerous,Hairy,krinijerous
Beata,Beatified woman,beata
Cerulean,Sky-blue; dark blue,serulean
Dysgenics,The study of racial degeneration,tsjeniks
Vacciniform,Resembling cow-pox,faksiniform
Hylophagous,Eating wood,hlofakous
Wanhope,Despair,wanhope
Bestiarian,Individual opposed to vivisection,besxiarian
Vindemial,"Of, like or pertaining to the vintage",fintemial
Viridigenous,Producing greenness,firitijenous
Fallibilism,The doctrine that empirical knowledge is uncertain,falibilism
Ephelis,Freckle or mole,efelis
Grillage,Framework of timber,krilaje
Museography,Description of the contents of a museum,museokraf
Zymotechnics,The art of fermentation,smotekshniks
Accoucheuse,Female midwife,akkouksheuse
Fasti,Record or register,fasti
Diprotodon,Gigantic prehistoric marsupial with two incisors in lower jaw,tiprototon
Tachistoscope,Instrument for rapidly showing images on a screen to test perception,takshistoskope
Deligation,Bandaging,telikaxion
Geromorphism,Appearing to be older than one's actual age,jeromorfism
Quadrupedation,Stamping with four feet,kuatrupetaxion
Oligarchy,Government by the few,olikarksh
Littoral,"Of, like or pertaining to the shore of a body of water",litoral
Slipslop,Nonsensical talk,slipslop
Xerography,Photocopying,serokraf
Urraca,Noisy South American bird,uraka
Cepaceous,Smelling or tasting of garlic or onion,sepaseous
Jennet,Small Spanish horse,jenet
